ticker,Name,Par,CoupRt,Freq,Maturity,Date,YrsTMat,Close Price
G170009,17附息国债09,100,3.32,0,1,2018/1/31,0.254795,100
G170017,17附息国债17,100,3.33,0,1,2018/1/31,0.50411,99.9
G170024,17附息国债24,100,3.54,0,1,2018/1/31,0.753425,100
G170007,17附息国债07,100,3.13,1,5,2018/1/31,4.19726,96.68
G170014,17附息国债14,100,3.47,1,5,2018/1/31,4.446575,97.95
G170010,17附息国债10,100,3.52,2,10,2018/1/31,9.254795,96
G170018,17附息国债18,100,3.59,2,10,2018/1/31,9.50411,96.8
G170025,17附息国债25,100,3.82,2,10,2018/1/31,9.753425,98.93
G170015,17附息国债15,100,4.05,2,30,2018/1/31,29.476712,94.69
G170009,17附息国债09,100,3.32,0,1,2018/2/28,0.178082,100.06
G170017,17附息国债17,100,3.33,0,1,2018/2/28,0.427397,100.09
G170007,17附息国债07,100,3.13,1,5,2018/2/28,4.120548,97.18
G170014,17附息国债14,100,3.47,1,5,2018/2/28,4.369863,98.41
G170015,17附息国债15,100,4.05,2,30,2018/2/28,29.4,96.1
G170009,17附息国债09,100,3.32,0,1,2018/3/30,0.09589,100
G170017,17附息国债17,100,3.33,0,1,2018/3/30,0.345205,100
G180003,18附息国债03,100,3.38,0,1,2018/3/30,0.843836,100.04
G170010,17附息国债10,100,3.52,2,10,2018/3/30,9.09589,97.78
G170015,17附息国债15,100,4.05,2,30,2018/3/30,29.317808,97.79
G170017,17附息国债17,100,3.33,0,1,2018/4/20,0.287671,100.18
G170007,17附息国债07,100,3.13,1,5,2018/4/20,3.980822,98.27
G170010,17附息国债10,100,3.52,2,10,2018/4/20,9.038356,99.28
G170015,17附息国债15,100,4.05,2,30,2018/4/20,29.260274,101.48
G170017,17附息国债17,100,3.33,0,1,2018/5/30,0.178082,100.08
G180003,18附息国债03,100,3.38,0,1,2018/5/30,0.676712,100.14
G180001,18附息国债01,100,3.81,1,5,2018/5/30,4.638356,102.72
G170010,17附息国债10,100,3.52,2,10,2018/5/30,8.928767,98.77
G170015,17附息国债15,100,4.05,2,30,2018/5/30,29.150685,100
G170017,17附息国债17,100,3.33,0,1,2018/6/29,0.09589,100
G180003,18附息国债03,100,3.38,0,1,2018/6/29,0.594521,100.08
G170014,17附息国债14,100,3.47,1,5,2018/6/29,4.038356,99.86
G170010,17附息国债10,100,3.52,2,10,2018/6/29,8.846575,99.75
G170018,17附息国债18,100,3.59,2,10,2018/6/29,9.09589,100.29
G180004,18附息国债04,100,3.85,2,10,2018/6/29,9.594288,102.74
G170015,17附息国债15,100,4.05,2,30,2018/6/29,29.068493,100.82
G170024,17附息国债24,100,3.54,0,1,2018/7/26,0.271233,100.09
G180003,18附息国债03,100,3.38,0,1,2018/7/26,0.520548,100.2
G170013,17附息国债13,100,3.57,1,7,2018/7/26,5.908294,100
G170015,17附息国债15,100,4.05,2,30,2018/7/26,28.994521,100.97
G180017,18附息国债17,100,3.97,2,30,2018/7/26,29.992993,99.81
G170024,17附息国债24,100,3.54,0,1,2018/8/27,0.183562,100.25
G180003,18附息国债03,100,3.38,0,1,2018/8/27,0.432877,100.41
G170015,17附息国债15,100,4.05,2,30,2018/8/27,28.906849,98.72
G180017,18附息国债17,100,3.97,2,30,2018/8/27,29.905322,96.65
G170024,17附息国债24,100,3.54,0,1,2018/9/28,0.09589,100.11
G180003,18附息国债03,100,3.38,0,1,2018/9/28,0.345205,100.35
G180018,18附息国债18,100,2.79,0,1,2018/9/28,0.882192,99.86
G170015,17附息国债15,100,4.05,2,30,2018/9/28,28.819178,98.85
G180017,18附息国债17,100,3.97,2,30,2018/9/28,29.817651,96.55
G180003,18附息国债03,100,3.38,0,1,2018/10/31,0.254795,100.2
G170008,17附息国债08,100,3.23,1,3,2018/10/31,1.489535,100.25
G180019,18附息国债19,100,3.54,2,10,2018/10/31,9.792814,100.11
G170015,17附息国债15,100,4.05,2,30,2018/10/31,28.728767,99.92
G180017,18附息国债17,100,3.97,2,30,2018/10/31,29.72724,98.5
G180003,18附息国债03,100,3.38,0,1,2018/11/27,0.180822,100.2
G180001,18附息国债01,100,3.81,1,5,2018/11/27,4.142466,102.38
G180009,18附息国债09,100,3.17,1,5,2018/11/27,4.391781,99.82
G180016,18附息国债16,100,3.3,1,5,2018/11/27,4.621918,100.35
G170015,17附息国债15,100,4.05,2,30,2018/11/27,28.654795,101.76
G180017,18附息国债17,100,3.97,2,30,2018/11/27,29.653267,100.5
G180028,18附息国债28,100,3.22,1,7,2018/12/28,6.939726,101.2
G180019,18附息国债19,100,3.54,2,10,2018/12/28,9.63391,103.45
G170015,17附息国债15,100,4.05,2,30,2018/12/28,28.569863,104.51
G180017,18附息国债17,100,3.97,2,30,2018/12/28,29.568336,102.81
G180026,18附息国债26,100,2.41,0,1,2019/1/30,0.810959,100.03
G180022,18附息国债22,100,3,1,2,2019/1/30,1.71563,100.72
G180011,18附息国债11,100,3.69,2,10,2019/1/30,9.294865,104.19
G180019,18附息国债19,100,3.54,2,10,2019/1/30,9.543499,103.08
G170015,17附息国债15,100,4.05,2,30,2019/1/30,28.479452,104.01
G180017,18附息国债17,100,3.97,2,30,2019/1/30,29.477925,103.09
G180010,18附息国债10,100,3.02,0,1,2019/2/27,0.216438,100.3
G170012,17附息国债12,100,3.62,1,2,2019/2/27,0.29589,100.55
G190002,19附息国债02,100,2.44,1,2,2019/2/27,1.983562,99.88
G180009,18附息国债09,100,3.17,1,5,2019/2/27,4.139726,100.67
G170015,17附息国债15,100,4.05,2,30,2019/2/27,28.40274,104.9
G180017,18附息国债17,100,3.97,2,30,2019/2/27,29.401213,103.49
G180010,18附息国债10,100,3.02,0,1,2019/3/29,0.134247,100.1
G180026,18附息国债26,100,2.41,0,1,2019/3/29,0.652055,100.05
G190001,19附息国债01,100,2.31,0,1,2019/3/29,0.80536,100.05
G180022,18附息国债22,100,3,1,2,2019/3/29,1.556726,100.59
G180004,18附息国债04,100,3.85,2,10,2019/3/29,8.846343,105.78
G170015,17附息国债15,100,4.05,2,30,2019/3/29,28.320548,105.65
G180017,18附息国债17,100,3.97,2,30,2019/3/29,29.319021,104
G180026,18附息国债26,100,2.41,0,1,2019/4/29,0.567123,99.96
G190001,19附息国债01,100,2.31,0,1,2019/4/29,0.720428,99.77
G170012,17附息国债12,100,3.62,1,2,2019/4/29,0.128767,100.06
G190002,19附息国债02,100,2.44,1,2,2019/4/29,1.816438,99.99
G190001,19附息国债01,100,2.31,0,1,2019/5/30,0.635497,99.83
G180016,18附息国债16,100,3.3,1,5,2019/5/30,4.117808,100.68
G180027,18附息国债27,100,3.25,2,10,2019/5/30,9.482491,99.77
G170015,17附息国债15,100,4.05,2,30,2019/5/30,28.150685,102.78
G190001,19附息国债01,100,2.31,0,1,2019/6/28,0.556045,100
G190005,19附息国债05,100,2.65,0,1,2019/6/28,0.903039,99.96
G180028,18附息国债28,100,3.22,1,7,2019/6/28,6.441096,99.99
G180027,18附息国债27,100,3.25,2,10,2019/6/28,9.403039,99.76
G170015,17附息国债15,100,4.05,2,30,2019/6/28,28.071233,103.67
G180017,18附息国债17,100,3.97,2,30,2019/6/28,29.069706,102.5
G190001,19附息国债01,100,2.31,0,1,2019/7/31,0.465634,99.96
G190005,19附息国债05,100,2.65,0,1,2019/7/31,0.812628,100.11
G180028,18附息国债28,100,3.22,1,7,2019/7/31,6.350685,100.13
G180004,18附息国债04,100,3.85,2,10,2019/7/31,8.506617,105.4
G170015,17附息国债15,100,4.05,2,30,2019/7/31,27.980822,103.69
G180017,18附息国债17,100,3.97,2,30,2019/7/31,28.979295,102.5
G180026,18附息国债26,100,2.41,0,1,2019/8/29,0.232877,99.99
G190001,19附息国债01,100,2.31,0,1,2019/8/29,0.386182,99.98
G190005,19附息国债05,100,2.65,0,1,2019/8/29,0.733176,100.07
G170002,17附息国债02,100,2.77,1,3,2019/8/29,0.391646,100.09
G170015,17附息国债15,100,4.05,2,30,2019/8/29,27.90137,106.22
G180017,18附息国债17,100,3.97,2,30,2019/8/29,28.899843,104.65
G190001,19附息国债01,100,2.31,0,1,2019/9/27,0.30673,100.01
G190005,19附息国债05,100,2.65,0,1,2019/9/27,0.653724,100.3
G190003,19附息国债03,100,2.69,1,3,2019/9/27,2.441096,99.92
G190004,19附息国债04,100,3.19,1,5,2019/9/27,4.53897,100.86
G170013,17附息国债13,100,3.57,1,7,2019/9/27,4.735691,102.75
G180028,18附息国债28,100,3.22,1,7,2019/9/27,6.191781,100.64
G170015,17附息国债15,100,4.05,2,30,2019/9/27,27.821918,105.49
G190001,19附息国债01,100,2.31,0,1,2019/10/29,0.219058,99.94
G190005,19附息国债05,100,2.65,0,1,2019/10/29,0.566053,100.06
G190004,19附息国债04,100,3.19,1,5,2019/10/29,4.451299,100.45
G170006,17附息国债06,100,3.2,1,7,2019/10/29,4.38026,100.31
G170013,17附息国债13,100,3.57,1,7,2019/10/29,4.64802,102.22
G170020,17附息国债20,100,3.69,1,7,2019/10/29,4.896654,102.86
G180028,18附息国债28,100,3.22,1,7,2019/10/29,6.10411,100.09
G180004,18附息国债04,100,3.85,2,10,2019/10/29,8.260042,104.33
G170015,17附息国债15,100,4.05,2,30,2019/10/29,27.734247,103.7
G180017,18附息国债17,100,3.97,2,30,2019/10/29,28.73272,101.9
